lambda,energy_over_t
0.02278484575842521, -2.0024983088059694
0.04646722914214041, -2.007354336579262
0.07014239458328919, -2.015029873167527
0.09381599090648896, -2.023318346454699
0.11641398825786964, -2.0310450755160567
0.14546758791113912, -2.041357710957699
0.1691405565871591, -2.049891358924434
0.19281383908676886, -2.0583024195513873
0.21648649393919894, -2.0669586548579035
0.24015883496803925, -2.0757374775042012
0.26383023452611, -2.0848840621698432
0.2875025755549503, -2.0936628848161405
0.3111746027602007, -2.1025642948022196
0.33484600231827166, -2.1117108794678616
0.3585170880527525, -2.1209800514732846
0.38218817378723347, -2.130249223478708
0.40585831805094486, -2.1398861575034753
0.4295275208438867, -2.149890853547587
0.45319609598964905, -2.1601407242712614
0.476864984959001, -2.1702680076551544
0.5005341877519429, -2.180272703699266
0.5242018214269355, -2.1908903364422847
0.5478685136311587, -2.2018757312046473
0.5715352058353818, -2.2128611259670103
0.5952012703924254, -2.224091695408936
0.6188657658315198, -2.2359352015497684
0.6425299474470241, -2.247901295030383
0.666193187591759, -2.260235150530341
0.6898548586185447, -2.2731819427292064
0.713515901998151, -2.2863739096076343
0.7371744347890381, -2.3005465752043137
0.7608329675799255, -2.314719240800993
0.7844877344877346, -2.3303629544750493
0.8081421875719541, -2.3461292554888864
0.831794130067455, -2.3628762552209754
0.8554438757978264, -2.380481366331534
0.8790901694687101, -2.399434938179688
0.9027352078452342, -2.4188788593869677
0.9263730282791922, -2.4411422894092194
0.9500092795952007, -2.4640186561303783
0.9736395682630026, -2.489224182307384
0.9972673463420856, -2.5154104072026406
1.0208894755965512, -2.5438032042139627
1.0445084666151188, -2.5734218746230986
1.0670514506912003, -2.602638164348136
1.0885146305593594, -2.63293538020043
1.1089051021196543, -2.6615416862193677
1.1282174571455543, -2.690569670893849
1.1475298121714546, -2.7195976555683297
1.1657676657363678, -2.7476351808481496
1.1829291479747381, -2.775412662966173
1.2011636933159753, -2.8047424631195215
1.219396704408551, -2.8346715791562462
1.2365568921246133, -2.8629547340508674
1.2537157853183676, -2.8917435617220875
1.2708746785121219, -2.9205323893933075
1.2880327086910042, -2.9496583322489256
1.3051911703773222, -2.978615717512345
1.3223470430190243, -3.0085844483289605
1.3395037786755983, -3.038216063961178
1.3566600828247366, -3.068016237185594
1.3738159554664386, -3.09798496800221
1.3909713966007047, -3.128122256411025
1.4081277007498427, -3.157922429635441
1.4252818473618005, -3.1885653908208544
1.4424355624663223, -3.2193769095984677
1.4595897090782806, -3.2500198707838814
1.4767442871976748, -3.2804942743770953
1.4928259528993382, -3.3093574985535805
1.5089075569570827, -3.338244802386095
1.5260612720616045, -3.3690563211637077
1.5432149871661263, -3.3998678399413205
1.560366976240904, -3.431353589087731
1.5764476556398572, -3.4606020877606722
1.5925285199705679, -3.4897783474655277
1.6086080281350517, -3.5194843596030103
1.6246874746556157, -3.5492144513965216
1.6418398952378295, -3.580531642950733
1.6589923158200437, -3.611848834504944
1.6761443048948215, -3.6433345836513547
1.6932967254770348, -3.674651775205566
1.710448714551813, -3.7061375243519765
1.7275994091042828, -3.738128946274985
1.7447539872236766, -3.7686033498681994
1.7619111543876864, -3.798066407908217
1.7790691845665687, -3.8271923507638355
1.796221605148783, -3.8585095423180467
1.8122967982389058, -3.8899011303775235
1.8283732242074178, -3.9208111253164306
1.8444497734637688, -3.9516729609432804
1.859448831039803, -3.982712391601232
1.875526199279655, -4.01325431179799
1.8926760308172523, -4.045582848905397
1.90982586235485, -4.077911386012806
1.9269756938924478, -4.110239923120213
1.9441255254300456, -4.142568460227621
1.961276219982515, -4.17455988215063
1.9773535706098186, -4.20510868224911
1.991290784080628, -4.230213373917903
